H2Oice	G0230
scanned warm and tilted by ~5 deg	
Wavelength (nm)	%T
2880	0.17433
2879	0.17355
2878	0.15952
2877	0.16331
2876	0.14609
2875	0.14674
2874	0.13952
2873	0.14176
2872	0.13513
2871	0.13621
2870	0.12521
2869	0.12778
2868	0.12388
2867	0.12268
2866	0.11294
2865	0.11417
2864	0.10877
2863	0.10137
2862	0.10292
2861	0.10391
2860	0.10315
2859	0.090318
2858	0.092108
2857	0.092719
2856	0.087409
2855	0.085803
2854	0.080721
2853	0.07814
2852	0.078735
2851	0.078281
2850	0.0708
2849	0.07856
2848	0.072156
2847	0.077641
2846	0.071274
2845	0.070185
2844	0.063671
2843	0.067144
2842	0.069441
2841	0.058088
2840	0.060559
2839	0.06362
2838	0.059666
2837	0.062121
2836	0.056805
2835	0.050723
2834	0.051608
2833	0.051829
2832	0.052141
2831	0.050339
2830	0.052262
2829	0.044153
2828	0.051619
2827	0.049816
2826	0.051216
2825	0.046852
2824	0.046364
2823	0.047339
2822	0.047407
2821	0.043977
2820	0.047419
2819	0.043886
2818	0.043628
2817	0.044708
2816	0.04239
2815	0.041216
2814	0.043134
2813	0.04255
2812	0.038968
2811	0.03366
2810	0.03777
2809	0.033782
2808	0.041901
2807	0.038301
2806	0.041151
2805	0.033397
2804	0.038736
2803	0.033461
2802	0.035067
2801	0.029155
2800	0.034536
2799	0.031199
2798	0.024247
2797	0.02894
2796	0.034008
2795	0.031411
2794	0.031966
2793	0.031533
2792	0.026737
2791	0.029991
2790	0.031114
2789	0.029112
2788	0.02925
2787	0.026812
2786	0.024633
2785	0.029609
2784	0.02455
2783	0.027195
2782	0.028395
2781	0.033311
2780	0.022482
2779	0.029169
2778	0.024214
2777	0.025146
2776	0.025331
2775	0.019102
2774	0.02787
2773	0.023566
2772	0.027591
2771	0.022559
2770	0.022878
2769	0.026822
2768	0.026299
2767	0.023229
2766	0.018922
2765	0.028511
2764	0.026545
2763	0.021963
2762	0.023682
2761	0.024867
2760	0.018684
2759	0.0255
2758	0.027365
2757	0.016633
2756	0.024698
2755	0.02005
2754	0.027252
2753	0.018868
2752	0.021595
2751	0.020792
2750	0.016115
2749	0.019227
2748	0.023714
2747	0.023662
2746	0.021705
2745	0.02378
2744	0.023523
2743	0.025201
2742	0.02356
2741	0.01942
2740	0.021908
2739	0.022594
2738	0.017231
2737	0.019085
2736	0.018669
2735	0.020877
2734	0.01858
2733	0.02
2732	0.016693
2731	0.022891
2730	0.022838
2729	0.013233
2728	0.020945
2727	0.020782
2726	0.02086
2725	0.017684
2724	0.022323
2723	0.016124
2722	0.016574
2721	0.023154
2720	0.018672
2719	0.02145
2718	0.021612
2717	0.020079
2716	0.021775
2715	0.021496
2714	0.014787
2713	0.019839
2712	0.019914
2711	0.019613
2710	0.018923
2709	0.016471
2708	0.019519
2707	0.023293
2706	0.015556
2705	0.016376
2704	0.021211
2703	0.021067
2702	0.018441
2701	0.019181
2700	0.022775
2699	0.018645
2698	0.014615
2697	0.017926
2696	0.01964
2695	0.01739
2694	0.016064
2693	0.018983
2692	0.015164
